取引日,出金金額（円）,入金金額（円）,海外出金金額,通貨,変換レート（円）,利用国,取引内容,取引先,取引方法,支払い区分,利用者,取引番号
2026/04/11 01:48:35,285,-,-,-,-,-,支払い,第一興商 - ビッグエコー名駅４丁目店,PayPay残高,-,-,04953764719185846272
2026/04/10 21:33:59,320,-,-,-,-,-,支払い,ローソン - 瀬戸内田町,PayPay残高,-,-,04953633507934633984
2026/04/10 21:32:54,-,"1,000",-,-,-,-,チャージ,PayPay,auじぶん銀行 *****68,-,-,02242484670233911304
2026/04/10 14:00:04,620,-,-,-,-,-,支払い,ローソン - 瀬戸内田町,PayPay残高,-,-,04953399561066283008
2026/04/10 09:12:43,"2,200",-,-,-,-,-,支払い,ジャンカラ - 名駅東口店,PayPay残高,-,-,04953251453414252548
2026/04/10 09:12:03,-,"3,000",-,-,-,-,チャージ,PayPay,auじぶん銀行 *****68,-,-,02242102830461485078
2026/04/10 01:11:41,310,-,-,-,-,-,支払い,第一興商 - ビッグエコー名駅４丁目店,PayPay残高,-,-,04953003539312099329
2026/04/09 18:29:21,158,-,-,-,-,-,支払い,ローソン - 瀬戸内田町,PayPay残高,-,-,04952796178291122180
2026/04/09 09:14:08,380,-,-,-,-,-,支払い,Appleサービス,PayPay残高,-,-,04952510013209821189
2026/04/09 06:43:31,168,-,-,-,-,-,支払い,ローソン - 瀬戸内田町,"PayPayポイント (10円), PayPay残高 (158円)",-,-,04952432385971191813
2026/04/09 06:43:18,-,"1,000",-,-,-,-,チャージ,PayPay,auじぶん銀行 *****68,-,-,02241283994946420738
2026/04/09 01:32:25,285,-,-,-,-,-,支払い,第一興商 - ビッグエコー名駅４丁目店,PayPay残高,-,-,04952272046252212227
2026/04/08 21:37:07,940,-,-,-,-,-,支払い,ローソン - 瀬戸内田町,PayPay残高,-,-,04952150782145421312
2026/04/08 21:36:20,-,"1,000",-,-,-,-,チャージ,PayPay,auじぶん銀行 *****68,-,-,02241002099062997002
2026/04/08 07:13:13,"1,026",-,-,-,-,-,支払い,Hulu,"PayPayポイント (95円), PayPay残高 (931円)",-,-,04951705531475959808
2026/04/06 11:08:48,158,-,-,-,-,-,支払い,ローソン - 瀬戸内田町,"PayPayポイント (2円), PayPay残高 (156円)",-,-,04950342600912527368
2026/04/05 16:53:38,106,-,-,-,-,-,支払い,ゲンキー - 485ゲンキー上野店,PayPay残高,-,-,04949778156310552584
2026/04/05 15:50:03,-,"1,000",-,-,-,-,チャージ,PayPay,auじぶん銀行 *****68,-,-,02238597106355748893
2026/04/05 08:50:11,"4,506",-,-,-,-,-,支払い,Steam,"PayPayポイント (2円), PayPay残高 (4,504円)",-,-,04949528996667891712
2026/04/05 08:49:50,-,"5,000",-,-,-,-,チャージ,PayPay,auじぶん銀行 *****68,-,-,02238380528334823444
2026/04/05 02:36:25,400,-,-,-,-,-,支払い,第一興商 - ビッグエコー名古屋伏見店,"PayPayポイント (6円), PayPay残高 (394円)",-,-,04949336350204461056
2026/04/04 20:47:54,320,-,-,-,-,-,支払い,ローソン - 瀬戸内田町,"PayPayポイント (16円), PayPay残高 (304円)",-,-,04949156726082191364
2026/04/04 03:01:21,310,-,-,-,-,-,支払い,第一興商 - ビッグエコー名駅４丁目２号店,PayPay残高,-,-,04948607030397689859
2026/04/03 21:35:44,"1,264",-,-,-,-,-,支払い,ローソン - 瀬戸内田町,"PayPayポイント (38円), PayPay残高 (1,226円)",-,-,04948439217435344897
2026/04/03 21:35:39,-,"1,000",-,-,-,-,チャージ,PayPay,auじぶん銀行 *****68,-,-,02237290895131820032
2026/04/03 21:35:07,-,"1,000",-,-,-,-,チャージ,PayPay,auじぶん銀行 *****68,-,-,02237290620254019588
2026/04/02 03:33:00,400,-,-,-,-,-,支払い,第一興商 - ビッグエコー名駅４丁目店,"PayPayポイント (16円), PayPay残高 (384円)",-,-,04947139010576195584
2026/04/01 21:34:08,320,-,-,-,-,-,支払い,ローソン - 瀬戸内田町,PayPay残高,-,-,04946954043513569283
2026/04/01 21:33:53,-,"1,000",-,-,-,-,チャージ,PayPay,auじぶん銀行 *****68,-,-,02235805635311411214
2026/04/01 07:40:08,864,-,-,-,-,-,支払い,ローソン - 瀬戸内田町,"PayPayポイント (12円), PayPay残高 (852円)",-,-,04946524203186266120
2026/04/01 02:06:23,310,-,-,-,-,-,支払い,第一興商 - ビッグエコー名駅４丁目店,"PayPayポイント (2円), PayPay残高 (308円)",-,-,04946352189745668099
2026/04/01 02:06:07,-,"1,000",-,-,-,-,チャージ,PayPay,auじぶん銀行 *****68,-,-,02235203781544124416